name_of_city,state_name,population_total,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_female,total_graduates
Abohar ,PUNJAB,145238,890,79.86,73.59,16287
Achalpur ,MAHARASHTRA,112293,928,91.99,89,8863
Adilabad ,ANDHRA PRADESH,117388,982,80.51,72.73,10565
Adityapur ,JHARKHAND,173988,902,83.46,76.23,19225
Adoni ,ANDHRA PRADESH,166537,1013,68.38,60.33,11902
Agartala ,TRIPURA,399688,1002,93.88,92.02,52711
Agra ,UTTAR PRADESH,1574542,853,63.44,58.54,185813
Ahmadabad ,GUJARAT,5570585,897,89.62,84.81,769858
Ahmadnagar ,MAHARASHTRA,350905,952,91.49,87.33,51661
Aizawl ,MIZORAM,291822,1029,98.8,98.31,26832
Ajmer ,RAJASTHAN,542580,946,87.53,81.53,77989
Akbarpur ,UTTAR PRADESH,111594,939,76.94,69.54,9745
Akola ,MAHARASHTRA,427146,958,91.34,87.77,49715
Alandur ,TAMIL NADU,164162,997,95.15,93.1,45971
Alappuzha ,KERALA,174164,1076,96.56,95.21,22263
Aligarh ,UTTAR PRADESH,872575,884,70.36,64.55,99341
Allahabad ,UTTAR PRADESH,1117094,858,86.5,82.17,233129
Alwar ,RAJASTHAN,315310,889,86.78,79.05,58764
Ambala ,HARYANA,196216,895,88.23,84.51,34943
Ambala Sadar ,HARYANA,104268,922,87.97,87.22,20618
Ambarnath ,MAHARASHTRA,254003,910,89.04,83.78,26596
Ambattur ,TAMIL NADU,478134,982,92.69,89.62,97186
Ambikapur ,CHHATTISGARH,114575,920,88.2,83.29,20857
Ambur ,TAMIL NADU,113856,1031,86.83,82.65,7813
Amravati ,MAHARASHTRA,646801,957,93.03,90.44,91996
Amreli ,GUJARAT,105980,921,89.47,84.75,11305
Amritsar ,PUNJAB,1132761,879,85.27,82.09,140359
Amroha ,UTTAR PRADESH,197135,918,63.88,59.24,13879
Anand ,GUJARAT,197351,928,93.71,90.82,29803
Anantapur ,ANDHRA PRADESH,262340,995,81.88,75.24,43700
Anantnag ,JAMMU & KASHMIR,108505,937,78.95,72.23,12666
Arrah ,BIHAR,261099,874,83.41,76.86,35354
Asansol ,WEST BENGAL,564491,922,84.82,79.73,65625
Ashoknagar Kalyangarh ,WEST BENGAL,123906,981,92.45,89.32,11992
Aurangabad ,BIHAR,101520,904,86.89,80.68,13141
Aurangabad ,MAHARASHTRA,1171330,919,89.13,83.81,159308
Avadi ,TAMIL NADU,344701,969,88.63,84.94,51647
Azamgarh ,UTTAR PRADESH,110980,912,86.43,81.56,19911
Badlapur ,MAHARASHTRA,175516,914,92.38,88.94,25115
Bagaha ,BIHAR,113012,885,60.67,50.79,3744
Bagalkot ,KARNATAKA,112068,972,86.15,79.58,14090
Bahadurgarh ,HARYANA,170426,858,88.04,80.87,22521
Baharampur ,WEST BENGAL,195363,945,90.29,88.09,32154
Bahraich ,UTTAR PRADESH,186241,890,75.03,72.87,20490
Baidyabati ,WEST BENGAL,121081,936,89.08,86.86,17224
Baleshwar Town ,ORISSA,118202,960,88.79,85.22,23170
Ballia ,UTTAR PRADESH,104271,872,86.62,81.51,16114
Bally ,WEST BENGAL,291972,863,83.39,82.56,36100
Bally City,WEST BENGAL,115715,930,90.14,86.43,12354
Balurghat ,WEST BENGAL,151183,998,91.85,89.28,23732
Banda ,UTTAR PRADESH,154388,878,83.3,76.75,24015
Bankura ,WEST BENGAL,138036,951,87.27,81.88,19082
Bansberia ,WEST BENGAL,103799,929,85.73,80.46,8566
Banswara ,RAJASTHAN,100128,954,86.98,81.01,13852
Baran ,RAJASTHAN,118157,926,81.19,71.64,11553
Baranagar ,WEST BENGAL,248466,935,92.46,90.04,49711
Barasat ,WEST BENGAL,283443,972,90.42,87.62,45516
Baraut ,UTTAR PRADESH,102733,884,77.98,70.51,12672
Barddhaman ,WEST BENGAL,314638,959,89.07,85.48,52387
Bareilly ,UTTAR PRADESH,898167,881,70.17,65.75,110691
Baripada Town ,ORISSA,110058,931,89.31,84.88,17589
Barnala ,PUNJAB,116454,869,79.59,75.1,12665
Barrackpur ,WEST BENGAL,154475,943,89.33,86.33,29910
Barshi ,MAHARASHTRA,118573,948,86.47,79.8,13351
Basirhat ,WEST BENGAL,127135,974,88.25,84.88,20037
Basti ,UTTAR PRADESH,114651,907,85.29,79.57,20183
Batala ,PUNJAB,156400,897,85.49,81.81,16436
Bathinda ,PUNJAB,285813,883,82.84,77.16,43428
Beawar ,RAJASTHAN,145809,946,85.96,78.12,13767
Begusarai ,BIHAR,251136,875,79.35,73.25,24616
Belgaum ,KARNATAKA,488292,982,90.49,86.41,64200
Bellary ,KARNATAKA,409644,988,78.26,71.64,36855
Bengaluru,KARNATAKA,8425970,914,89.59,86.25,1591163
Bettiah ,BIHAR,132896,888,82.54,78,13438
Betul ,MADHYA PRADESH,103341,953,90.27,86.11,17125
Bhadrak ,ORISSA,107369,949,80.88,76.23,13311
Bhadravati ,KARNATAKA,150776,1010,86.6,81.7,12406
Bhadreswar ,WEST BENGAL,101334,901,86.89,81.8,9225
Bhagalpur ,BIHAR,398138,878,81.16,76.31,49656
Bhalswa Jahangir Pur ,NCT OF DELHI,197150,855,76.94,69.71,8348
Bharatpur ,RAJASTHAN,252109,880,82.13,72.8,33411
Bharuch ,GUJARAT,168729,942,87.66,83.79,14059
Bhatpara ,WEST BENGAL,390467,878,85.86,81.04,29055
Bhavnagar ,GUJARAT,593768,919,85.62,79.44,51875
Bhilai Nagar ,CHHATTISGARH,625697,942,87.23,80.99,81620
Bhilwara ,RAJASTHAN,360009,915,84.27,76.08,41788
Bhimavaram ,ANDHRA PRADESH,142280,1031,83.41,80.07,18298
Bhind ,MADHYA PRADESH,197332,872,84.2,76.3,20470
Bhiwadi ,RAJASTHAN,104883,755,80.67,70.44,10135
Bhiwandi ,MAHARASHTRA,711329,700,81.53,77.11,24688
Bhiwani ,HARYANA,197662,876,84.39,77.56,28123
Bhopal ,MADHYA PRADESH,1795648,911,85.24,80.9,282813
Bhubaneswar Town ,ORISSA,837737,882,93.15,90.26,200788
Bhuj ,GUJARAT,147123,889,87.5,82.1,16457
Bhusawal ,MAHARASHTRA,187750,942,90.37,85.89,19815
Bid ,MAHARASHTRA,146237,933,88.56,82.81,19030
Bidar ,KARNATAKA,211944,937,87.65,82.08,25910
Bidhan Nagar ,WEST BENGAL,218323,960,90.44,87.69,65863
Biharsharif ,BIHAR,296889,916,74.8,65.39,28092
Bijapur ,KARNATAKA,326360,976,83.43,77.86,37265
Bikaner ,RAJASTHAN,647804,900,79.86,71.77,73369
Bilaspur ,CHHATTISGARH,330106,945,88.76,83.51,67396
Bokaro Steel City ,JHARKHAND,413934,881,84.94,76.54,61034
Bongaon ,WEST BENGAL,110668,962,90.25,86.58,10286
Botad ,GUJARAT,130302,922,83.21,75.4,4578
Brahmapur Town ,ORISSA,355823,917,90.04,85.92,50782
Budaun ,UTTAR PRADESH,159221,907,73,68.97,19204
Bulandshahr ,UTTAR PRADESH,222826,906,78.98,71.86,32546
Bundi ,RAJASTHAN,102823,929,83.15,74.81,13148
Burari ,NCT OF DELHI,145584,872,88.81,82.47,17914
Burhanpur ,MADHYA PRADESH,210891,948,81.7,76.73,15203
Buxar ,BIHAR,102591,896,85.16,78.76,12464
Champdani ,WEST BENGAL,110983,872,82.39,75.91,7167
Chandannagar ,WEST BENGAL,166949,981,90.62,87.98,30933
Chandausi ,UTTAR PRADESH,114254,897,72.63,68.02,15436
Chandigarh ,CHANDIGARH,960787,829,86.77,81.88,189312
Chandrapur ,MAHARASHTRA,321036,944,90.81,85.83,37686
Chapra ,BIHAR,201597,897,81.3,75.97,22852
Chas ,JHARKHAND,141618,888,85.12,77.19,15277
Chennai ,TAMIL NADU,4681087,986,90.33,87.16,879695
Chhattarpur ,MADHYA PRADESH,133626,893,84.57,79.16,20807
Chhindwara ,MADHYA PRADESH,138266,963,90.37,86.1,28233
Chikmagalur ,KARNATAKA,118496,1013,89.79,86.26,13204
Chilakaluripet ,ANDHRA PRADESH,101550,1023,72.08,63.89,9526
Chitradurga ,KARNATAKA,139914,990,88.76,84.97,16857
Chittaurgarh ,RAJASTHAN,116409,933,84.96,77.28,16833
Chittoor ,ANDHRA PRADESH,153766,1008,86.37,81.16,21345
Churu ,RAJASTHAN,119846,940,75.11,63.07,8756
Coimbatore ,TAMIL NADU,1061447,999,91.74,88.47,168145
Cuddalore ,TAMIL NADU,173361,1025,88.54,84.15,21572
Cuttack ,ORISSA,606007,997,91.17,84.49,110147
Dabgram ,WEST BENGAL,118464,951,73.98,67.34,2532
Dallo Pura ,NCT OF DELHI,154955,903,81.92,75.34,17134
Damoh ,MADHYA PRADESH,124979,919,87.1,81.4,16544
Darbhanga ,BIHAR,294116,898,80.88,74.68,38605
Darjiling ,WEST BENGAL,120414,1003,94.18,91.85,16319
Datia ,MADHYA PRADESH,100466,898,80.54,73.06,12717
Davanagere ,KARNATAKA,435128,973,84.89,80.76,40740
Deesa ,GUJARAT,111149,893,80.67,71.14,5933
Dehradun ,UTTARAKHAND,578420,906,89.32,85.66,136036
Dehri ,BIHAR,137068,896,83.38,76.05,14780
Delhi ,NCT OF DELHI,11007835,875,87.6,83.2,2221137
Delhi Cantonment ,NCT OF DELHI,116352,719,91.11,86.26,17317
Deoghar ,JHARKHAND,203116,876,86.8,79.98,27126
Deoli ,NCT OF DELHI,169410,858,83.85,75.47,13046
Deoria ,UTTAR PRADESH,129570,912,88.81,83.43,25206
Dewas ,MADHYA PRADESH,289438,927,85.83,78.49,29848
Dhanbad ,JHARKHAND,1161561,887,80.78,72.69,104768
Dharmavaram ,ANDHRA PRADESH,121992,962,71.83,62.66,7560
Dhaulpur ,RAJASTHAN,126142,862,76.56,67.74,11782
Dhule ,MAHARASHTRA,376093,940,89.86,85.4,38164
Dibrugarh ,ASSAM,138661,925,89.77,87.14,20878
Dimapur ,NAGALAND,123777,904,87.48,85.24,12902
Dinapur Nizamat ,BIHAR,182241,876,78.4,71.39,19777
Dindigul ,TAMIL NADU,207225,1013,90.55,86.79,23327
Dum Dum ,WEST BENGAL,117637,927,93.51,92.88,25287
Durg ,CHHATTISGARH,268679,968,87.94,82,38428
Durgapur ,WEST BENGAL,566937,926,87.84,83.23,80060
Eluru ,ANDHRA PRADESH,214414,1028,74.13,71.26,23523
English Bazar ,WEST BENGAL,216083,877,84.69,83.86,28983
Erode ,TAMIL NADU,156953,1010,88.39,83.65,19615
Etah ,UTTAR PRADESH,118632,884,86.43,81.96,21588
Etawah ,UTTAR PRADESH,256790,891,82.89,78.35,38404
Faizabad ,UTTAR PRADESH,167544,920,86.52,83.45,30658
Faridabad ,HARYANA,1404653,872,84.88,78.53,219974
Farrukhabad-cum-Fatehgarh ,UTTAR PRADESH,275754,895,74.92,70.35,31160
Fatehpur ,UTTAR PRADESH,193801,907,77.69,71.82,25076
Firozabad ,UTTAR PRADESH,603797,877,70.08,64.5,36145
Firozpur ,PUNJAB,110091,885,79.75,75.69,14939
Gadag-Betigeri ,KARNATAKA,172813,1006,85.56,79.82,15926
Gandhidham ,GUJARAT,248705,879,83.34,76.08,24431
Gandhinagar ,GUJARAT,208299,903,93.7,90.57,52343
Ganganagar ,RAJASTHAN,224773,859,83.22,76.65,34347
Gangapur City ,RAJASTHAN,119045,892,79.78,67.52,9850
Gangawati ,KARNATAKA,105354,1000,76.58,68.31,6927
Gaya ,BIHAR,463454,886,85.74,80.35,56679
Ghazipur ,UTTAR PRADESH,110698,904,85.46,79.79,18840
Giridih ,JHARKHAND,114447,910,85.75,80.9,15112
Godhra ,GUJARAT,143126,938,88.72,83.32,12053
Gokal Pur ,NCT OF DELHI,121938,878,85.24,78.26,15993
Gonda ,UTTAR PRADESH,114353,955,81.07,73.75,17212
Gondal ,GUJARAT,112064,918,85.73,80.61,10557
Gondiya ,MAHARASHTRA,132889,991,93.7,89.69,18563
Gorakhpur ,UTTAR PRADESH,671048,898,85.97,80.72,123723
Greater Hyderabad ,ANDHRA PRADESH,6809970,945,82.96,79.79,1164149
Greater Mumbai ,MAHARASHTRA,12478447,852,90.28,86.7,1802371
Greater Noida ,UTTAR PRADESH,107676,836,86.54,80.65,20791
Gudivada ,ANDHRA PRADESH,118289,1007,82.16,77.98,12523
Gulbarga ,KARNATAKA,532031,953,83.71,77.99,65039
Guna ,MADHYA PRADESH,180978,912,81.71,73.5,22104
Guntakal ,ANDHRA PRADESH,126479,1017,75.7,67.16,11626
Guntur ,ANDHRA PRADESH,651382,1016,81.11,76.04,94432
Gurgaon ,HARYANA,876824,844,86.3,82.46,233817
Guwahati ,ASSAM,963429,918,91.11,89.16,184065
Gwalior ,MADHYA PRADESH,1053505,878,85.2,78.82,169264
Habra ,WEST BENGAL,149675,956,90.85,87.53,13824
Hajipur ,BIHAR,147126,873,79.26,72.93,16319
Haldia ,WEST BENGAL,200762,915,89.06,83.96,17487
Haldwani-cum-Kathgodam ,UTTARAKHAND,156060,905,81.75,78.34,34329
Halisahar ,WEST BENGAL,126893,904,89.25,84.98,10802
Hanumangarh ,RAJASTHAN,151104,893,78.32,70.42,16870
Haora ,WEST BENGAL,1072161,913,89.86,87.13,151490
Hapur ,UTTAR PRADESH,262801,881,75.34,67.72,28472
Hardoi ,UTTAR PRADESH,126890,901,87.15,82.8,29166
Hardwar ,UTTARAKHAND,225235,874,84.99,80.55,38835
Hassan ,KARNATAKA,133723,1015,90.51,88.17,21042
Hastsal ,NCT OF DELHI,177033,862,84.68,76.81,12901
Hathras ,UTTAR PRADESH,137509,874,79.06,73.58,18612
Hazaribag ,JHARKHAND,142494,919,89.95,85.9,28889
Hindaun ,RAJASTHAN,105690,881,76.58,63.94,7964
Hindupur ,ANDHRA PRADESH,151835,982,76.4,70.52,11050
Hinganghat ,MAHARASHTRA,100416,936,94.34,90.56,11256
Hisar ,HARYANA,301249,844,81.04,75,49148
Hoshangabad ,MADHYA PRADESH,117956,915,87.97,82.26,18980
Hoshiarpur ,PUNJAB,168443,908,89.11,86.3,26629
Hospet ,KARNATAKA,206159,1003,80.02,73.23,17556
Hosur ,TAMIL NADU,116821,966,88.24,84.79,15530
Hubli-Dharwad ,KARNATAKA,943857,983,87.28,82.83,113864
Hugli-Chinsurah ,WEST BENGAL,177209,992,91.94,89.16,31236
Ichalkaranji ,MAHARASHTRA,287570,921,87.85,81.6,22644
Imphal ,MANIPUR ,264986,1055,91.7,87.8,63915
Indore ,MADHYA PRADESH,1960631,921,87.38,82.55,313525
Jabalpur ,MADHYA PRADESH,1054336,929,88.9,84.88,169711
Jagadhri ,HARYANA,124915,844,85.79,81.96,18738
Jagdalpur ,CHHATTISGARH,125345,961,85.44,79.16,16223
Jaipur ,RAJASTHAN,3073350,898,84.34,77.41,533148
Jalandhar ,PUNJAB,862196,882,85.5,82.69,128924
Jalgaon ,MAHARASHTRA,460468,909,88.96,84.26,55315
Jalna ,MAHARASHTRA,285349,932,84.61,77.74,23959
Jalpaiguri ,WEST BENGAL,107351,997,91.11,88.56,20252
Jamalpur ,BIHAR,105221,871,87.38,81.4,10638
Jammu ,JAMMU & KASHMIR,503690,898,89.66,85.82,121564
Jamnagar ,GUJARAT,529308,916,82.58,77.83,52049
Jamshedpur ,JHARKHAND,629659,920,87.5,82.47,110962
Jamuria ,WEST BENGAL,144971,918,73.11,63.68,5436
Jaunpur ,UTTAR PRADESH,168128,895,82.11,77.98,24871
Jehanabad ,BIHAR,102456,867,79.66,73.97,8901
Jetpur Navagadh ,GUJARAT,118550,902,83.86,77.92,8846
Jhansi ,UTTAR PRADESH,507293,892,83.81,77.81,78757
Jhunjhunun ,RAJASTHAN,118966,922,74.4,63.22,10403
Jind ,HARYANA,166225,877,83.63,75.43,21508
Jodhpur ,RAJASTHAN,1033918,900,81.56,73.93,140922
Junagadh ,GUJARAT,320250,952,88.63,83.83,36910
Kadapa ,ANDHRA PRADESH,341823,990,79.38,72.54,41997
Kaithal ,HARYANA,144633,887,80.76,73.07,18095
Kakinada ,ANDHRA PRADESH,312255,1046,81.23,77.76,47823
Kalol ,GUJARAT,112126,888,88.69,83.18,14208
