name_of_city,state_name,population_total,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_female,total_graduates
Kalyani ,WEST BENGAL,100620,978,88.75,84.63,17457
Kamarhati ,WEST BENGAL,336579,925,88.22,85.43,50367
Kancheepuram ,TAMIL NADU,164265,1003,88.35,83.59,18625
Kanchrapara ,WEST BENGAL,122181,978,90.8,87.02,13808
Kanpur ,UTTAR PRADESH,2767031,842,84.14,82.21,459611
Kanpur City,UTTAR PRADESH,108035,847,79.65,75.23,12635
Karaikkudi ,TAMIL NADU,106793,999,91.25,87.19,11778
Karawal Nagar ,NCT OF DELHI,224666,868,84.57,76.36,14478
Karimnagar ,ANDHRA PRADESH,260899,980,86.75,80.79,52034
Karnal ,HARYANA,286974,892,86.32,81.64,52911
Kasganj ,UTTAR PRADESH,101241,892,78.56,72.57,13306
Kashipur ,UTTARAKHAND,121610,911,83.4,78.61,20036
Katihar ,BIHAR,225982,897,79.87,74.16,24259
Khammam ,ANDHRA PRADESH,184252,1024,81.7,76.43,29400
Khandwa ,MADHYA PRADESH,200681,951,86.98,82.23,24431
Khanna ,PUNJAB,128130,890,84.43,80.82,16767
Kharagpur ,WEST BENGAL,206923,939,86.64,81.76,24881
Khardaha ,WEST BENGAL,111130,957,95.5,94.17,21522
Khargone ,MADHYA PRADESH,106452,947,82.96,76.69,12584
Khora ,UTTAR PRADESH,189410,845,86,77.62,10482
Khurja ,UTTAR PRADESH,111089,896,67.63,60.64,10529
Kirari Suleman Nagar ,NCT OF DELHI,282598,858,79.22,70.83,10621
Kishanganj ,BIHAR,107076,923,74.71,69.13,7847
Kishangarh ,RAJASTHAN,155019,929,80.15,70.52,13054
Kochi ,KERALA,601574,1028,97.49,96.69,115773
Kolar ,KARNATAKA,138553,978,84.02,80.69,11508
Kolhapur ,MAHARASHTRA,549283,956,92.12,87.77,92443
Kolkata ,WEST BENGAL,4486679,899,87.14,84.98,818476
Kollam ,KERALA,349033,1077,92.1,90.5,39521
Korba ,CHHATTISGARH,363210,927,84.28,76.06,38726
Kota ,RAJASTHAN,1001365,890,83.65,75.9,128652
Kozhikode ,KERALA,432097,1093,96.8,95.78,61225
Krishnanagar ,WEST BENGAL,152203,984,90.92,88.6,21326
Kulti ,WEST BENGAL,313977,917,76.58,68.24,19371
Kumbakonam ,TAMIL NADU,140113,1020,91.7,88.3,16862
Kurichi ,TAMIL NADU,125800,996,90.42,86.71,13160
Kurnool ,ANDHRA PRADESH,424920,1006,78.15,72.39,60589
Lakhimpur ,UTTAR PRADESH,152010,876,84.39,80.82,25967
Lalitpur ,UTTAR PRADESH,133041,913,83.96,76.78,17013
Latur ,MAHARASHTRA,382754,932,86.43,80.19,42355
Loni ,UTTAR PRADESH,512296,871,75.24,66.15,15572
Lucknow ,UTTAR PRADESH,2815601,915,84.72,81.36,596990
Ludhiana ,PUNJAB,1613878,845,85.38,81.85,211267
Machilipatnam ,ANDHRA PRADESH,170008,1035,83.32,80.05,19872
Madanapalle ,ANDHRA PRADESH,135669,1012,81.4,75.31,16385
Madavaram ,TAMIL NADU,118525,988,90.27,86.32,18525
Madhyamgram ,WEST BENGAL,198964,978,90.16,86.88,27584
Madurai ,TAMIL NADU,1016885,997,91.42,87.62,129719
Mahbubnagar ,ANDHRA PRADESH,157902,988,84.77,78.69,30286
Mahesana ,GUJARAT,184133,894,90.99,85.78,27191
Maheshtala ,WEST BENGAL,449423,945,82.63,78.98,33247
Mainpuri ,UTTAR PRADESH,117327,908,85.95,81.84,18745
Malegaon ,MAHARASHTRA,471006,969,86.66,83.07,22830
Malerkotla ,PUNJAB,135330,895,70.25,65.1,9767
Mandoli ,NCT OF DELHI,120345,877,80.72,73.15,7274
Mandsaur ,MADHYA PRADESH,141468,955,86.79,80.6,18225
Mandya ,KARNATAKA,137735,1003,85.11,80.74,16203
Mangalore ,KARNATAKA,484785,1014,94.03,91.63,78097
Mango ,JHARKHAND,224002,927,86.62,81.29,28682
Mathura ,UTTAR PRADESH,349336,872,76.75,70.7,44357
Maunath Bhanjan ,UTTAR PRADESH,279060,948,78.6,72.94,20775
Medinipur ,WEST BENGAL,169127,981,90.01,86.56,28498
Meerut ,UTTAR PRADESH,1309023,898,77.7,71.64,174025
Mira Bhayander ,MAHARASHTRA,814655,876,93.67,90.53,118506
Miryalaguda ,ANDHRA PRADESH,103855,995,82.09,74.89,13377
Mirzapur-cum-Vindhyachal ,UTTAR PRADESH,233691,869,78.25,71.8,25846
Modinagar ,UTTAR PRADESH,130161,882,90,84.16,24695
Moga ,PUNJAB,150432,886,82.09,78.82,17762
Moradabad ,UTTAR PRADESH,889810,908,70.65,66.9,91999
Morena ,MADHYA PRADESH,200506,850,80.38,70.22,21351
Morvi ,GUJARAT,188278,924,84.59,78.4,15195
Motihari ,BIHAR,125183,856,87.2,83.52,19550
Mughalsarai ,UTTAR PRADESH,110110,901,82.83,75.29,11758
Muktsar ,PUNJAB,117085,888,77.31,71.53,11785
Munger ,BIHAR,213101,883,81.83,76.59,19988
Murwara ,MADHYA PRADESH,221875,922,87.42,81.64,27011
Mustafabad ,NCT OF DELHI,127012,903,76.1,66.98,4462
Muzaffarnagar ,UTTAR PRADESH,392451,897,80.99,75.65,58965
Muzaffarpur ,BIHAR,351838,890,85.16,81.05,61914
Mysore ,KARNATAKA,887446,1000,86.84,83.73,149306
Nabadwip ,WEST BENGAL,125528,922,87.75,84.07,10083
Nadiad ,GUJARAT,218150,941,88.28,83.31,27432
Nagaon ,ASSAM,116355,971,93.43,88.08,15273
Nagapattinam ,TAMIL NADU,102838,1024,89.49,84.89,8469
Nagaur ,RAJASTHAN,100618,927,73.05,63.42,7812
Nagda ,MADHYA PRADESH,100036,946,81.61,73.37,9844
Nagercoil ,TAMIL NADU,224329,1037,95.35,93.74,34342
Nagpur ,MAHARASHTRA,2405421,961,93.13,89.99,382282
Naihati ,WEST BENGAL,221762,966,89.79,86.31,23181
Nalgonda ,ANDHRA PRADESH,135163,995,87.08,81.92,26575
Nanded Waghala ,MAHARASHTRA,550564,924,87.4,81.74,57736
Nandurbar ,MAHARASHTRA,111067,930,86.99,81.56,11451
Nandyal ,ANDHRA PRADESH,200746,992,76.89,69.67,22411
Nangloi Jat ,NCT OF DELHI,205497,867,83.4,75.7,12692
Narasaraopet ,ANDHRA PRADESH,116329,975,79.45,73.18,13872
Nashik ,MAHARASHTRA,1486973,894,90.96,86.51,204014
Navi Mumbai ,MAHARASHTRA,1119477,831,91.57,87.33,192624
Navi Mumbai Panvel Raigarh ,MAHARASHTRA,194999,809,90.72,86.16,22631
Navsari ,GUJARAT,160100,931,89.25,85.02,17425
Neemuch ,MADHYA PRADESH,128108,903,85.86,78.9,16428
Nellore ,ANDHRA PRADESH,505258,966,83.59,79.52,67787
New Delhi ,NCT OF DELHI,249998,832,90.93,86.56,63573
Neyveli ,TAMIL NADU,105687,978,90.98,86.01,18507
Nizamabad ,ANDHRA PRADESH,310467,1001,80.31,73.83,34574
Noida ,UTTAR PRADESH,642381,822,88.58,83.28,143014
North Barrackpur ,WEST BENGAL,134825,979,94.78,92.68,23047
North Dum Dum ,WEST BENGAL,253625,972,91.98,89.55,40842
Ongole ,ANDHRA PRADESH,202826,994,83.57,77.72,32491
Orai ,UTTAR PRADESH,187185,880,83.31,76.2,29393
Osmanabad ,MAHARASHTRA,112085,929,88.15,82.52,14303
Ozhukarai ,PUDUCHERRY,300028,1025,90.2,85.48,50682
Palakkad ,KERALA,131019,1053,94.2,91.73,16827
Palanpur ,GUJARAT,127125,915,86.44,78.13,15127
Pali ,RAJASTHAN,229956,916,78.67,67.08,16234
Pallavaram ,TAMIL NADU,216308,996,93.26,90.57,50503
Palwal ,HARYANA,127931,884,81,73.42,15837
Panchkula ,HARYANA,210175,883,87.86,83.98,62655
Panihati ,WEST BENGAL,383522,984,92.78,90.47,58667
Panipat ,HARYANA,294150,870,84.29,79.09,37873
Panvel ,MAHARASHTRA,180464,938,93.98,91.54,39613
Parbhani ,MAHARASHTRA,307191,949,84.34,77.7,30035
Patan ,GUJARAT,125502,912,87.56,80.91,13430
Pathankot ,PUNJAB,148357,906,88.6,84.96,24038
Patiala ,PUNJAB,405164,879,86.36,82.7,86697
Patna ,BIHAR,1683200,882,84.71,81.33,307603
Pilibhit ,UTTAR PRADESH,130428,894,74.26,71.61,17508
Pimpri Chinchwad ,MAHARASHTRA,1729359,828,90.9,86.37,249581
Pithampur ,MADHYA PRADESH,126099,787,82.73,72.65,5150
Porbandar ,GUJARAT,152136,938,86.46,80.92,9853
Port Blair ,ANDAMAN & NICOBAR ISLANDS,100608,889,89.76,86.34,12420
Proddatur ,ANDHRA PRADESH,162816,1001,78.08,70.2,18151
Puducherry ,PUDUCHERRY,241773,1045,89.29,84.91,37830
Pudukkottai ,TAMIL NADU,117215,1000,92.19,88.62,15104
Pune ,MAHARASHTRA,3115431,945,91.61,87.91,656508
Puri ,ORISSA,201026,928,89.38,85.66,27062
Purnia ,BIHAR,280547,895,74.48,68.98,28193
Puruliya ,WEST BENGAL,121436,942,82.34,75.53,14793
Rae Bareli ,UTTAR PRADESH,191056,914,82.97,78.25,34959
Raichur ,KARNATAKA,232456,980,77.47,70.49,22445
Raiganj ,WEST BENGAL,183682,902,81.66,78.76,16788
Raigarh ,CHHATTISGARH,137097,952,87.55,81.18,20161
Raipur ,CHHATTISGARH,1010087,945,86.9,81.1,147194
Rajahmundry ,ANDHRA PRADESH,343903,1026,84.28,80.54,53604
Rajapalayam ,TAMIL NADU,130119,1013,86.25,80.43,11024
Rajarhat Gopalpur ,WEST BENGAL,404991,970,90.91,88.4,73182
Rajkot ,GUJARAT,1286995,905,88.82,84.61,148048
Rajnandgaon ,CHHATTISGARH,163122,992,87.95,81.61,19640
Rajpur Sonarpur ,WEST BENGAL,423806,962,91.06,87.71,68707
Ramagundam ,ANDHRA PRADESH,229632,964,75.54,67.75,27209
Rampur ,UTTAR PRADESH,325248,915,60.74,57.83,30319
Ranchi ,JHARKHAND,1073440,920,88.49,83.75,200849
Ranibennur ,KARNATAKA,106365,972,89.98,89.8,9747
Raniganj ,WEST BENGAL,128624,915,78.47,71.77,9719
Ratlam ,MADHYA PRADESH,264810,961,87.88,82.48,36589
Raurkela Industrial Township ,ORISSA,210412,916,86.6,81.22,22887
Raurkela Town ,ORISSA,273217,885,87.95,82.94,38314
Rewa ,MADHYA PRADESH,235422,889,87.74,81.95,41109
Rewari ,HARYANA,140864,886,88.25,81.61,22539
Rishra ,WEST BENGAL,124585,866,88.89,84.78,14585
Robertson Pet ,KARNATAKA,146428,1023,89.6,86.05,13400
Rohtak ,HARYANA,373133,887,84.08,78.68,65881
Roorkee ,UTTARAKHAND,118188,861,90.7,86.49,30594
Rudrapur ,UTTARAKHAND,140884,897,73.21,65.17,14678
S.A.S. Nagar ,PUNJAB,146104,911,93.22,91.1,57323
Sagar ,MADHYA PRADESH,273357,916,90.23,85.52,39717
Saharanpur ,UTTAR PRADESH,703345,891,77.94,73.72,80749
Saharsa ,BIHAR,155175,879,77.66,70.27,18307
Salem ,TAMIL NADU,831038,987,84.8,79.84,93297
Sambalpur ,ORISSA,183383,938,85.74,80.92,26095
Sambhal ,UTTAR PRADESH,221334,908,49.51,46.45,10580
Sangli Miraj Kupwad ,MAHARASHTRA,502697,969,88.08,82.67,60752
Santipur ,WEST BENGAL,151774,970,81.43,77,7213
Sasaram ,BIHAR,147396,897,82.31,76.78,18844
Satara ,MAHARASHTRA,120079,966,92.91,89.34,22292
Satna ,MADHYA PRADESH,280248,895,86.33,80.01,37695
Sawai Madhopur ,RAJASTHAN,120998,914,80.85,69.16,13480
Secunderabad ,ANDHRA PRADESH,213698,914,87.75,83.59,42492
Sehore ,MADHYA PRADESH,108818,933,85.52,79.99,13887
Seoni ,MADHYA PRADESH,102377,955,91.16,86.45,16335
Serampore ,WEST BENGAL,183339,940,89.99,87.05,30060
Shahjahanpur ,UTTAR PRADESH,327975,894,68.92,64.5,33510
Shamli ,UTTAR PRADESH,107233,874,81.97,75.57,13343
Shikohabad ,UTTAR PRADESH,107300,882,81.68,76.59,15351
Shillong ,MEGHALAYA,143007,1042,92.34,90.33,25113
Shimla ,HIMACHAL PRADESH,169758,818,94.67,93.35,43353
Shimoga ,KARNATAKA,322428,991,88.02,84.7,37463
Shivpuri ,MADHYA PRADESH,179972,890,79.24,70.86,22320
Sikar ,RAJASTHAN,237579,929,77.13,67.37,20786
Silchar ,ASSAM,172709,989,91.74,89.5,22274
Siliguri ,WEST BENGAL,509709,951,85.46,81.94,65003
Singrauli ,MADHYA PRADESH,220295,878,77.35,67.11,18047
Sirsa ,HARYANA,183282,893,83.03,76.98,24453
Sitapur ,UTTAR PRADESH,177351,899,83.11,79.43,28003
Siwan ,BIHAR,134458,903,84.65,76.89,14545
Solapur ,MAHARASHTRA,951118,972,83.88,76.3,88638
Sonipat ,HARYANA,277053,873,87.56,81.17,46858
South Dum Dum ,WEST BENGAL,410524,987,92.82,90.48,102942
Srikakulam ,ANDHRA PRADESH,126003,1013,85.13,78.95,21745
Srinagar ,JAMMU & KASHMIR,1192792,888,70.98,63.52,135783
Sujangarh ,RAJASTHAN,101528,950,74.55,63.06,5284
Sultan Pur Majra ,NCT OF DELHI,181624,896,79.78,71.37,7390
Sultanpur ,UTTAR PRADESH,107914,904,88.63,84.7,20475
Surat ,GUJARAT,4462002,758,89.03,84.05,278795
Surendranagar Dudhrej ,GUJARAT,177827,918,85.34,78.41,17558
Suryapet ,ANDHRA PRADESH,105250,1019,84.88,78.74,14203
Tadepalligudem ,ANDHRA PRADESH,103577,1024,83.1,79.71,11527
Tadpatri ,ANDHRA PRADESH,108249,1004,72.17,61.93,8618
Tambaram ,TAMIL NADU,176807,947,93.72,91.5,35148
Tenali ,ANDHRA PRADESH,164649,1025,82.63,78.41,22433
Thane ,MAHARASHTRA,1818872,882,91.36,88.14,241148
Thanesar ,HARYANA,154962,852,85.73,80.85,32979
Thanjavur ,TAMIL NADU,222619,1037,91.48,88.14,33652
Thiruvananthapuram ,KERALA,752490,1064,93.72,92.58,151257
Thoothukkudi ,TAMIL NADU,237374,1011,94.47,92.56,31795
Thrissur ,KERALA,315596,1076,97.24,96.26,53535
Tiruchirappalli ,TAMIL NADU,846915,1025,91.32,88.08,123329
Tirunelveli ,TAMIL NADU,474838,1024,90.98,87.08,59397
Tirupati ,ANDHRA PRADESH,287035,966,87.55,82.21,55454
Tiruppur ,TAMIL NADU,444543,954,87.67,82.41,33358
Tiruvannamalai ,TAMIL NADU,144683,1000,81.64,77.7,16502
Tiruvottiyur ,TAMIL NADU,248059,987,88.21,84.8,25781
Titagarh ,WEST BENGAL,118426,852,81.18,74.47,5643
Tonk ,RAJASTHAN,165363,947,69.47,59.85,11776
Tumkur ,KARNATAKA,305821,968,85.97,83.47,42163
Udaipur ,RAJASTHAN,451735,925,90.66,85.39,92090
Udgir ,MAHARASHTRA,104063,911,85.78,79.43,9924
Udupi ,KARNATAKA,125350,1021,93.89,91.35,22444
Ujjain ,MADHYA PRADESH,515215,942,85.55,79.62,72743
Ulhasnagar ,MAHARASHTRA,506937,875,89.21,84.75,43561
Uluberia ,WEST BENGAL,222175,946,81.13,76.82,11384
Unnao ,UTTAR PRADESH,178681,899,83.72,79.8,27220
Uttarpara Kotrung ,WEST BENGAL,162386,961,91.16,88.75,35773
Vadodara ,GUJARAT,1666703,923,92.37,88.99,279959
Valsad ,GUJARAT,114987,950,92.7,89.72,18980
Varanasi ,UTTAR PRADESH,1201815,887,80.12,75.63,172622
Vasai Virar City ,MAHARASHTRA,1221233,880,91.15,86.9,129954
Vellore ,TAMIL NADU,185895,1032,86.67,81.84,15592
Veraval ,GUJARAT,153696,966,78,69.21,10089
Vidisha ,MADHYA PRADESH,155959,915,86.88,80.98,22023
Vijayawada ,ANDHRA PRADESH,1048240,997,82.59,78.94,135425
Visakhapatnam,ANDHRA PRADESH,1730320,977,82.66,77.18,250549
Vizianagaram ,ANDHRA PRADESH,227533,1039,81.85,75.8,30656
Warangal ,ANDHRA PRADESH,620116,998,84.16,76.79,109613
Wardha ,MAHARASHTRA,105543,982,94.05,90.88,19363
Yamunanagar ,HARYANA,216628,877,85.91,81.71,29803
Yavatmal ,MAHARASHTRA,116714,988,91.81,88.17,13511